945	359	200	185	94	44
882	288	172	181	77	42
1194	402	277	202	99	66
1001	318	402	191	77	112
294	291	292	81	80	81
151	144	150	42	40	42
720	388	409	157	96	106
996	853	1050	169	154	180
274	160	159	74	43	44
183	257	330	53	70	97
245	342	316	66	95	84
189	335	350	53	95	94
423	739	697	103	154	143
1038	1047	1033	170	170	169
1387	855	249	204	163	15
450	789	281	107	167	34
702	925	384	142	175	55
1371	1215	589	192	185	88
772	584	282	157	136	46
1160	805	405	187	156	68
1488	779	385	211	151	67
1321	676	217	204	145	19
770	381	586	162	91	147
810	340	468	170	82	131
246	236	237	68	67	67
1316	849	1010	194	150	177
966	460	543	179	104	132
698	463	626	150	107	146
191	148	155	51	40	44
160	168	197	47	47	57
498	718	514	116	152	109
203	327	242	57	94	60
297	521	455	76	133	109
296	363	689	86	90	173
293	265	468	82	70	138
505	326	534	128	83	142
499	259	387	130	67	115
575	196	206	145	52	62
821	297	323	173	75	92
842	721	410	161	151	77
597	452	237	140	118	43
1185	880	505	186	162	90
886	559	361	170	130	76
1219	816	492	191	155	92
711	319	275	158	84	71
574	534	765	130	121	163
567	458	605	133	109	143
385	279	358	101	72	101
183	152	166	48	42	46
551	807	924	123	156	170
759	1070	1204	143	176	188
70	106	193	22	27	62
366	510	325	93	131	72
199	325	268	55	95	69
213	275	191	60	82	48
407	427	301	107	114	71
795	1065	877	148	177	150
534	823	806	121	161	153
354	456	671	95	113	160
431	536	715	109	126	159
984	1055	1235	166	170	190
728	856	1272	146	154	206
647	761	1170	140	146	202
417	480	775	108	113	174
374	421	638	101	104	158
659	611	940	139	130	183
444	214	276	118	54	83
295	214	304	80	56	88
276	173	202	76	45	60
38	38	43	10	10	11
693	914	959	140	165	169
850	964	609	155	172	113
1236	1264	1125	179	183	168
1234	1265	1180	180	182	176
1464	1649	1578	187	200	194
1451	1604	1482	187	198	187
1852	1838	1879	205	204	206
1758	1772	1867	202	201	207
1567	1401	1375	196	186	184
1395	1170	1179	191	175	176
1392	1395	1604	187	186	204
1410	1326	1499	189	183	197
1141	1257	1541	174	180	206
1028	1035	1212	170	168	189
1205	1196	1477	179	175	205
1570	1188	1330	202	173	190
639	703	913	137	142	175
337	327	454	90	83	126
64	65	75	17	17	18
470	477	480	116	117	118
1718	1728	1717	201	200	201
1231	1305	1341	179	184	187
1441	1591	1685	187	196	203
1491	1493	1509	191	191	194
1422	1472	1447	189	190	189
1464	1525	1517	190	193	193
1474	1580	1668	188	196	201
1561	1629	1669	193	197	198
1702	1713	1700	200	200	199
480	489	488	119	120	120
65	66	75	19	19	20
833	874	892	157	160	161
421	451	481	109	114	120
525	558	615	124	128	138
546	578	613	127	131	135
580	584	618	131	131	136
564	619	618	128	135	135
464	472	475	114	115	116
1653	1653	1633	199	198	197
